Ensembl_ID	UniProt	Gene_symbol	CHR	start_pos	end_pos
ENSG00000282119	Q5VXH4	PRAMEF6	HG1342_HG2282_PATCH	119985	129093
ENSG00000288186		PPP1R27	HG1320_PATCH	46985	48543
ENSG00000282437	A3QJZ7	PRAMEF27	HG1342_HG2282_PATCH	203816	210831
ENSG00000282559	B7ZW38	HNRNPCL3	HG1342_HG2282_PATCH	215209	216569
ENSG00000282566	A6NGN4	PRAMEF25	HG1342_HG2282_PATCH	223017	232224
ENSG00000282530	B2RXH8	HNRNPCL2	HG1342_HG2282_PATCH	269828	271194
ENSG00000291363	P98088	MUC5AC	HG107_HG2565_PATCH	155427	198622
ENSG00000293532		MUC2	HG107_HG2565_PATCH	71614	108092
ENSG00000281987	H0Y7S4	PRAMEF26	HG1342_HG2282_PATCH	303245	310301
ENSG00000282095	P0DMR1	HNRNPCL4	HG1342_HG2282_PATCH	318926	319807
ENSG00000282298		PRAMEF9	HG1342_HG2282_PATCH	326795	333804
ENSG00000282741	Q5VWM6	PRAMEF13	HG1342_HG2282_PATCH	350528	355749
ENSG00000282741		PRAMEF13	HG1342_HG2282_PATCH	350528	355749
ENSG00000282212	Q5VWM3	PRAMEF18	HG1342_HG2282_PATCH	377045	380446
ENSG00000282424	Q5TYX0	PRAMEF5	HG1342_HG2282_PATCH	408552	417654
ENSG00000282583	Q5VWM4	PRAMEF8	HG1342_HG2282_PATCH	435375	439514
ENSG00000282125	A0A0G2JMD5	PRAMEF33	HG1342_HG2282_PATCH	457879	463247
ENSG00000293551		PRAMEF22	HG1342_HG2282_PATCH	157184	159964
ENSG00000291365		CNTNAP3C	HG1206_PATCH	48751	219108
ENSG00000261958		OR9G1	HG151_NOVEL_TEST	7154	8071
ENSG00000262191		OR9G9	HG151_NOVEL_TEST	18234	19151
ENSG00000262647	Q8NGQ1	OR9G4	HG151_NOVEL_TEST	60669	61653
ENSG00000281107		OR5G3	HG151_NOVEL_TEST	137423	138358
ENSG00000281449	Q9BZR8	BCL2L14	HG1362_PATCH	18842	180082
ENSG00000281449		BCL2L14	HG1362_PATCH	18842	180082
ENSG00000288175	X6R8R1	SYT15B	HG1277_PATCH	11715	24443
ENSG00000288175		SYT15B	HG1277_PATCH	11715	24443
ENSG00000288157	P0DQD5	NPY4R2	HG1277_PATCH	137021	141806
ENSG00000288481	B3EWG5	FAM25C	HG1277_PATCH	213604	218073
ENSG00000291426	Q9H0E2	TOLLIP	HG152_PATCH	8637	43920
ENSG00000291426		TOLLIP	HG152_PATCH	8637	43920
ENSG00000291428	Q8IWQ3	BRSK2	HG152_PATCH	124165	196955
ENSG00000281324	O75581	LRP6	HG1362_PATCH	85023	236042
ENSG00000281324		LRP6	HG1362_PATCH	85023	236042
ENSG00000291428		BRSK2	HG152_PATCH	124165	196955
ENSG00000291431	Q13202	DUSP8	HG152_PATCH	294027	312247
ENSG00000281818	Q9H8J5	MANSC1	HG1362_PATCH	295054	319240
ENSG00000281818		MANSC1	HG1362_PATCH	295054	319240
ENSG00000291433	Q6L8H4	KRTAP5-1	HG152_PATCH	324318	325259
ENSG00000291434	Q701N4	KRTAP5-2	HG152_PATCH	337153	338270
ENSG00000291435	Q6L8H2	KRTAP5-3	HG152_PATCH	347541	348439
ENSG00000291440		KRTAP5-4	HG152_PATCH	360934	362114
ENSG00000291443	Q701N2	KRTAP5-5	HG152_PATCH	369751	370906
ENSG00000280689	Q969J3	BORCS5	HG1362_PATCH	326076	440236
ENSG00000291442	Q70IA6	MOB2	HG152_PATCH	203723	274455
ENSG00000280689		BORCS5	HG1362_PATCH	326076	440236
ENSG00000280962	Q9BY84	DUSP16	HG1362_PATCH	442285	531866
ENSG00000288204		HMX1	HG1298_PATCH	98859	124622
ENSG00000280962		DUSP16	HG1362_PATCH	442285	531866
ENSG00000288204	Q9NP08	HMX1	HG1298_PATCH	98859	124622
ENSG00000291455	P0CW00	TSPY8	HG1532_PATCH	225079	227881
ENSG00000291455		TSPY8	HG1532_PATCH	225079	227881
ENSG00000291458	P0CV99	TSPY4	HG1532_PATCH	204746	207566
ENSG00000291458		TSPY4	HG1532_PATCH	204746	207566
ENSG00000291459		TSPY9	HG1532_PATCH	488788	491602
ENSG00000288499	Q8IXL6	FAM20C	HG1309_PATCH	168259	235989
ENSG00000288431			HG1309_PATCH	238026	238462
ENSG00000281230	Q9NUC0	SERTAD4	HG1832_PATCH	12538	26373
ENSG00000284255	Q96R67	OR4C12	HG1708_PATCH	23101	24163
ENSG00000292249	A6NMZ5	OR4C45	HG1708_PATCH	74500	75420
ENSG00000280680	Q5VTY9	HHAT	HG1832_PATCH	107994	459395
ENSG00000288263	Q15835	GRK1	HG1524_PATCH	18042	39335
ENSG00000280680		HHAT	HG1832_PATCH	107994	459395
ENSG00000291381	Q8IW93	ARHGEF19	HG1343_HG173_HG459_PATCH	1991	16789
ENSG00000291381		ARHGEF19	HG1343_HG173_HG459_PATCH	1991	16789
ENSG00000291382	Q9BU20	CPLANE2	HG1343_HG173_HG459_PATCH	35829	41320
ENSG00000291382		CPLANE2	HG1343_HG173_HG459_PATCH	35829	41320
ENSG00000291375	Q6P3S6	FBXO42	HG1343_HG173_HG459_PATCH	50977	156623
ENSG00000291375		FBXO42	HG1343_HG173_HG459_PATCH	50977	156623
ENSG00000291379	Q7Z422	SZRD1	HG1343_HG173_HG459_PATCH	156718	202286
ENSG00000291379		SZRD1	HG1343_HG173_HG459_PATCH	156718	202286
ENSG00000291401		SPATA21	HG1343_HG173_HG459_PATCH	191257	241687
ENSG00000291401	Q7Z572	SPATA21	HG1343_HG173_HG459_PATCH	191257	241687
ENSG00000291380		NECAP2	HG1343_HG173_HG459_PATCH	244986	264343
ENSG00000291380	Q9NVZ3	NECAP2	HG1343_HG173_HG459_PATCH	244986	264343
ENSG00000291387	Q9Y2J8	PADI2	HG1343_HG173_HG459_PATCH	1481961	1534651
ENSG00000291465	Q99678	GPR20	HG2031_PATCH	23024	33840
ENSG00000291470	O75365	PTP4A3	HG2031_PATCH	58549	99008
ENSG00000291470		PTP4A3	HG2031_PATCH	58549	99008
ENSG00000291474		C8orf90	HG2031_PATCH	181192	185291
ENSG00000291474	A0A2R8Y2Y2	C8orf90	HG2031_PATCH	181192	185291
ENSG00000292226			HG1343_HG173_HG459_PATCH	366657	428849
ENSG00000291473	Q6ZUA9	MROH5	HG2031_PATCH	100379	173784
ENSG00000291473		MROH5	HG2031_PATCH	100379	173784
ENSG00000292228			HG1343_HG173_HG459_PATCH	1011165	1078120
ENSG00000292227			HG1343_HG173_HG459_PATCH	585030	647269
ENSG00000292225		NBPF1	HG1343_HG173_HG459_PATCH	1198562	1260797
ENSG00000292338		DHRSX	Y	2219506	2502805
ENSG00000293604	Q96D31	ORAI1	HG2047_PATCH	32306	48880
ENSG00000292354	O15266	SHOX	Y	624344	659411
ENSG00000292354		SHOX	Y	624344	659411
ENSG00000292363	Q9HC73	CRLF2	Y	1190490	1212723
ENSG00000292363		CRLF2	Y	1190490	1212723
ENSG00000292336		ASMT	Y	1615059	1643081
ENSG00000291420	P63261	ACTG1	HG1369_PATCH	165618	180052
ENSG00000291420		ACTG1	HG1369_PATCH	165618	180052
ENSG00000291421		BAHCC1	HG1369_PATCH	50095	122536
ENSG00000292345		ZBED1	Y	2486414	2502862
ENSG00000292327		PPP2R3B	Y	333933	386955
ENSG00000285312		C6orf52	HG2057_PATCH	182302	205681
ENSG00000285312	Q5T4I8	C6orf52	HG2057_PATCH	182302	205681
ENSG00000292348		CD99	Y	2690988	2741312
ENSG00000285226	Q9NWT1	PAK1IP1	HG2057_PATCH	205856	220666
ENSG00000284936	Q9P0S9	TMEM14C	HG2057_PATCH	233799	242013
ENSG00000292344		PLCXD1	Y	276322	303358
ENSG00000292333		P2RY8	Y	1462572	1537187
ENSG00000285222		GCNT2	HG2057_PATCH	3107	140252
ENSG00000292332	P26951	IL3RA	Y	1335025	1382689
ENSG00000292332		IL3RA	Y	1335025	1382689
ENSG00000285222	Q8N0V5	GCNT2	HG2057_PATCH	3107	140252
ENSG00000292358	O43824	GTPBP6	Y	303346	318846
ENSG00000292358		GTPBP6	Y	303346	318846
ENSG00000292334	P12236	SLC25A6	Y	1386133	1392929
ENSG00000292334		SLC25A6	Y	1386133	1392929
ENSG00000292339	O95671	ASMTL	Y	1403138	1453786
ENSG00000292339		ASMTL	Y	1403138	1453786
ENSG00000292357	P15509	CSF2RA	Y	1268779	1325373
ENSG00000292357		CSF2RA	Y	1268779	1325373
ENSG00000288260			HG1395_PATCH	32845	52502
ENSG00000288297	Q19T08	ECSCR	HG1395_PATCH	39089	52538
ENSG00000288274	A0A1B0GW64	SMIM33	HG1395_PATCH	60573	64567
ENSG00000292343		AKAP17A	Y	1591604	1602532
ENSG00000288243	Q86WV6	STING1	HG1395_PATCH	65328	72730
ENSG00000292372		WASH6P	Y	57207346	57212230
ENSG00000288243		STING1	HG1395_PATCH	65328	72730
ENSG00000292373		IL9R	Y	57184216	57199537
ENSG00000292366	P51809	VAMP7	Y	57067747	57130289
ENSG00000292366		VAMP7	Y	57067747	57130289
ENSG00000183753		BPY2	Y	22973819	23005465
ENSG00000183753	O14599	BPY2	Y	22973819	23005465
ENSG00000169953	Q96LI6	HSFY2	Y	18731440	18773735
ENSG00000172468	Q96LI6	HSFY1	Y	18546691	18588963
ENSG00000176679	Q8IUE0	TGIF2LY	Y	3579067	3580041
ENSG00000182415	Q9Y6F7	CDY2A	Y	18025787	18027746
ENSG00000185894	O14599	BPY2C	Y	25030901	25062548
ENSG00000185894		BPY2C	Y	25030901	25062548
ENSG00000291488		ITGA9	HG2069_PATCH	21954	396164
ENSG00000291488	Q13797	ITGA9	HG2069_PATCH	21954	396164
ENSG00000205916		DAZ4	Y	24833843	24907040
ENSG00000205916	Q86SG3	DAZ4	Y	24833843	24907040
ENSG00000129873	Q9Y6F7	CDY2B	Y	17878260	17880220
ENSG00000184895	Q05066	SRY	Y	2786855	2787682
ENSG00000129824	P22090	RPS4Y1	Y	2841602	2932000
ENSG00000129824		RPS4Y1	Y	2841602	2932000
ENSG00000154620	O14604	TMSB4Y	Y	13703899	13706024
ENSG00000129864	O14598	VCY	Y	13985772	13986473
ENSG00000187191	Q9NR90	DAZ3	Y	24763069	24813492
ENSG00000187191		DAZ3	Y	24763069	24813492
ENSG00000188120	Q9NQZ3	DAZ1	Y	23129355	23199010
ENSG00000188120		DAZ1	Y	23129355	23199010
ENSG00000099721	Q99218	AMELY	Y	6865918	6911752
ENSG00000092377	Q9BQ87	TBL1Y	Y	6910686	7101970
ENSG00000092377		TBL1Y	Y	6910686	7101970
ENSG00000205944	Q13117	DAZ2	Y	23219447	23291356
ENSG00000205944		DAZ2	Y	23219447	23291356
ENSG00000288512		C1R	HG1398_PATCH	8669	20226
ENSG00000129862	O14598	VCY1B	Y	14056227	14056958
ENSG00000288124		C1RL	HG1398_PATCH	17273	36924
ENSG00000280969	Q8TD47	RPS4Y2	Y	20756108	20781032
ENSG00000288124	Q9NZP8	C1RL	HG1398_PATCH	17273	36924
ENSG00000099715	Q9BZA8	PCDH11Y	Y	5000226	5742224
ENSG00000099715		PCDH11Y	Y	5000226	5742224
ENSG00000288369	P82980	RBP5	HG1398_PATCH	43422	56575
ENSG00000288369		RBP5	HG1398_PATCH	43422	56575
ENSG00000172352	Q9Y6F8	CDY1B	Y	24045229	24048019
ENSG00000288427		CLSTN3	HG1398_PATCH	57384	86631
ENSG00000183795		BPY2B	Y	24607560	24639207
ENSG00000183795	O14599	BPY2B	Y	24607560	24639207
ENSG00000172288	Q9Y6F8	CDY1	Y	25622117	25624902
ENSG00000288427	Q9BQT9	CLSTN3	HG1398_PATCH	57384	86631
ENSG00000242875	A6NDE4	RBMY1B	Y	21511338	21525786
ENSG00000242875		RBMY1B	Y	21511338	21525786
ENSG00000234414	P0DJD3	RBMY1A1	Y	21534879	21549326
ENSG00000234414		RBMY1A1	Y	21534879	21549326
ENSG00000283068	Q9P2D0	IBTK	HG2072_PATCH	29598	107366
ENSG00000288217		PEX5	HG1398_PATCH	116371	146260
ENSG00000283068		IBTK	HG2072_PATCH	29598	107366
ENSG00000233803		TSPY4	Y	9337464	9340284
ENSG00000233803	P0CV99	TSPY4	Y	9337464	9340284
ENSG00000283085	Q13641	TPBG	HG2072_PATCH	233021	240643
ENSG00000229549		TSPY8	Y	9357797	9360599
ENSG00000229549	P0CW00	TSPY8	Y	9357797	9360599
ENSG00000228927	P0CV98	TSPY3	Y	9398421	9401223
ENSG00000228927		TSPY3	Y	9398421	9401223
ENSG00000258992	Q01534	TSPY1	Y	9466955	9469749
ENSG00000238074	A0A494C1R9	TSPY9	Y	9487267	9490081
ENSG00000291501	Q2Q1W2	TRIM71	HG2077_PATCH	186223	266050
ENSG00000236424	P0CW01	TSPY10	Y	9527880	9530682
ENSG00000291502	Q9H9A5	CNOT10	HG2077_PATCH	53371	142101
ENSG00000291502		CNOT10	HG2077_PATCH	53371	142101
ENSG00000236424		TSPY10	Y	9527880	9530682
ENSG00000168757		TSPY2	Y	6246223	6249019
ENSG00000168757	A6NKD2	TSPY2	Y	6246223	6249019
ENSG00000288217	P50542	PEX5	HG1398_PATCH	116371	146260
ENSG00000263150		OR8J2	HG142_HG150_NOVEL_TEST	21622	22569
ENSG00000262851	Q8NGG2	OR5T2	HG142_HG150_NOVEL_TEST	42855	43934
ENSG00000261897	Q8NGG3	OR5T3	HG142_HG150_NOVEL_TEST	62949	63971
ENSG00000262784	Q8NG75	OR5T1	HG142_HG150_NOVEL_TEST	86388	87368
ENSG00000262611	Q8NGG4	OR8H1	HG142_HG150_NOVEL_TEST	100802	101839
ENSG00000262611		OR8H1	HG142_HG150_NOVEL_TEST	100802	101839
ENSG00000262755	Q8NH51	OR8K3	HG142_HG150_NOVEL_TEST	129056	129994
ENSG00000263328	Q8NGG5	OR8K1	HG142_HG150_NOVEL_TEST	156788	157747
ENSG00000262796	Q8NGP2	OR8J1	HG142_HG150_NOVEL_TEST	170964	172037
ENSG00000262315		OR8U8	HG142_HG150_NOVEL_TEST	186374	187333
ENSG00000281038	P0C7N5	OR8U9	HG142_HG150_NOVEL_TEST	193979	194908
ENSG00000288319			HG1485_PATCH	7682	21171
ENSG00000285435	Q16695	H3-4	HG2002_PATCH	16044	16524
ENSG00000284841	Q7L7L0	H2AC25	HG2002_PATCH	48178	49072
ENSG00000285449	Q8N257	H2BC26	HG2002_PATCH	49306	51669
ENSG00000285426	Q5TA31	RNF187	HG2002_PATCH	78581	87387
ENSG00000284984	Q7L0Q8	RHOU	HG2002_PATCH	312483	323668
ENSG00000288264			HG2087_PATCH	2157	17417
ENSG00000288485		ELP5	HG2087_PATCH	6744	15268
ENSG00000288485	Q8TE02	ELP5	HG2087_PATCH	6744	15268
ENSG00000288292	O95471	CLDN7	HG2087_PATCH	15231	19311
ENSG00000288292		CLDN7	HG2087_PATCH	15231	19311
ENSG00000244395		RBMY1D	Y	21880076	21894526
ENSG00000244395	P0C7P1	RBMY1D	Y	21880076	21894526
ENSG00000280774	A8MZ59	LEUTX	HG2021_PATCH	36471	46043
ENSG00000288174	P14672	SLC2A4	HG2087_PATCH	37046	43585
ENSG00000242389		RBMY1E	Y	21903618	21918042
ENSG00000288174		SLC2A4	HG2087_PATCH	37046	43585
ENSG00000242389	A6NEQ0	RBMY1E	Y	21903618	21918042
ENSG00000288504	Q9Y2T7	YBX2	HG2087_PATCH	43591	49967
ENSG00000288504		YBX2	HG2087_PATCH	43591	49967
ENSG00000281320	Q9Y463	DYRK1B	HG2021_PATCH	85226	94077
ENSG00000281320		DYRK1B	HG2021_PATCH	85226	94077
ENSG00000288145	P63241	EIF5A	HG2087_PATCH	65364	70828
ENSG00000280548		FBL	HG2021_PATCH	94334	106255
ENSG00000169800	Q15415	RBMY1F	Y	22168542	22182982
ENSG00000280548	P22087	FBL	HG2021_PATCH	94334	106255
ENSG00000169800		RBMY1F	Y	22168542	22182982
ENSG00000288145		EIF5A	HG2087_PATCH	65364	70828
ENSG00000281221	P43686	PSMC4	HG2021_PATCH	246308	256907
ENSG00000226941	Q15415	RBMY1J	Y	22403410	22417881
ENSG00000288325		GPS2	HG2087_PATCH	69689	73929
ENSG00000281526		ZNF546	HG2021_PATCH	259277	296181
ENSG00000281526	Q86UE3	ZNF546	HG2021_PATCH	259277	296181
ENSG00000288325	Q13227	GPS2	HG2087_PATCH	69689	73929
ENSG00000281601	Q9Y6R6	ZNF780B	HG2021_PATCH	303403	331374
ENSG00000281601		ZNF780B	HG2021_PATCH	303403	331374
ENSG00000288456			HG2087_PATCH	71026	77539
ENSG00000280568		ZNF780A	HG2021_PATCH	344295	366081
ENSG00000280568	O75290	ZNF780A	HG2021_PATCH	344295	366081
ENSG00000281123	Q9Y6R7	FCGBP	HG2021_PATCH	123199	209777
ENSG00000165246		NLGN4Y	Y	14522573	14845654
ENSG00000165246	Q8NFZ3	NLGN4Y	Y	14522573	14845654
ENSG00000288301	Q96JN8	NEURL4	HG2087_PATCH	73993	87758
ENSG00000288301		NEURL4	HG2087_PATCH	73993	87758
ENSG00000284765	Q8ND23	CARMIL3	HG1_PATCH	352987	370707
ENSG00000288169	Q15027	ACAP1	HG2087_PATCH	94894	109842
ENSG00000288169		ACAP1	HG2087_PATCH	94894	109842
ENSG00000288399	Q693B1	KCTD11	HG2087_PATCH	110254	113309
ENSG00000285063	Q64ET8	FRG2	HG2023_PATCH	116955	119843
ENSG00000283153		FRG1	HG2023_PATCH	33800	56132
ENSG00000288511	Q3KNT9	TMEM95	HG2087_PATCH	113488	115584
ENSG00000283153	Q14331	FRG1	HG2023_PATCH	33800	56132
ENSG00000285221	O95741	CPNE6	HG1_PATCH	371815	379078
ENSG00000284383			HG2023_PATCH	163856	165127
ENSG00000284496			HG2023_PATCH	167162	168433
ENSG00000284262			HG2023_PATCH	170468	171739
ENSG00000283767			HG2023_PATCH	173774	175045
ENSG00000284210			HG2023_PATCH	177080	178351
ENSG00000283884			HG2023_PATCH	180386	181657
ENSG00000067048	O15523	DDX3Y	Y	12904108	12920478
ENSG00000283955			HG2023_PATCH	183692	184963
ENSG00000067048		DDX3Y	Y	12904108	12920478
ENSG00000284025			HG2023_PATCH	186998	188269
ENSG00000283878			HG2023_PATCH	190304	191575
ENSG00000284181			HG2023_PATCH	193610	194881
ENSG00000283820			HG2023_PATCH	196916	198187
ENSG00000283363		DUX4L8	HG2023_PATCH	160550	161824
ENSG00000285221		CPNE6	HG1_PATCH	371815	379078
ENSG00000283949	Q9UBX2	DUX4	HG2023_PATCH	200222	211819
ENSG00000285493	P54845	NRL	HG1_PATCH	381085	415992
ENSG00000285493		NRL	HG1_PATCH	381085	415992
ENSG00000288435	Q969M2	GJA10	HG2121_PATCH	92157	119448
ENSG00000288435		GJA10	HG2121_PATCH	92157	119448
ENSG00000288475	Q9UKL3	CASP8AP2	HG2121_PATCH	25225	72124
ENSG00000288475		CASP8AP2	HG2121_PATCH	25225	72124
ENSG00000285241		PCK2	HG1_PATCH	395031	411576
ENSG00000285241	Q16822	PCK2	HG1_PATCH	395031	411576
ENSG00000284796		DCAF11	HG1_PATCH	415173	426220
ENSG00000114374	O00507	USP9Y	Y	12537650	12860852
ENSG00000114374		USP9Y	Y	12537650	12860852
ENSG00000284796	Q8TEB1	DCAF11	HG1_PATCH	415173	426220
ENSG00000284818			HG1_PATCH	421934	432807
ENSG00000285321	A5D6W6	FITM1	HG1_PATCH	432253	433827
ENSG00000284916		PSME1	HG1_PATCH	437141	439945
ENSG00000284916	Q06323	PSME1	HG1_PATCH	437141	439945
ENSG00000291520	Q5VZ03	NXNL2	HG2158_PATCH	14578	64819
ENSG00000285377		EMC9	HG1_PATCH	439937	442569
ENSG00000285377	Q9Y3B6	EMC9	HG1_PATCH	439937	442569
ENSG00000183878		UTY	Y	13234577	13480673
ENSG00000183878	O14607	UTY	Y	13234577	13480673
ENSG00000284889		PSME2	HG1_PATCH	444340	448548
ENSG00000284889	Q9UL46	PSME2	HG1_PATCH	444340	448548
ENSG00000285152		RNF31	HG1_PATCH	447661	461638
ENSG00000280584	Q9NPH6	OBP2B	HG2030_PATCH	31223	35196
ENSG00000281309	O75683	SURF6	HG2030_PATCH	154870	162282
ENSG00000285152	Q96EP0	RNF31	HG1_PATCH	447661	461638
ENSG00000281022	Q15528	MED22	HG2030_PATCH	164406	174225
ENSG00000284845			HG1_PATCH	448526	467430
ENSG00000281022		MED22	HG2030_PATCH	164406	174225
ENSG00000285048	Q00978	IRF9	HG1_PATCH	462243	467543
ENSG00000285048		IRF9	HG1_PATCH	462243	467543
ENSG00000280858	P62424	RPL7A	HG2030_PATCH	174312	177520
ENSG00000280858		RPL7A	HG2030_PATCH	174312	177520
ENSG00000283984			HG2030_PATCH	176775	177487
ENSG00000285007	O95072	REC8	HG1_PATCH	472831	481235
ENSG00000285007		REC8	HG1_PATCH	472831	481235
ENSG00000280627	Q15526	SURF1	HG2030_PATCH	177852	182770
ENSG00000280627		SURF1	HG2030_PATCH	177852	182770
ENSG00000281024	Q15527	SURF2	HG2030_PATCH	182644	187252
ENSG00000280951		SURF4	HG2030_PATCH	187544	202260
ENSG00000280951	O15260	SURF4	HG2030_PATCH	187544	202260
ENSG00000285248	Q8TEX9	IPO4	HG1_PATCH	481197	489847
ENSG00000281245	Q8NE28	STKLD1	HG2030_PATCH	202460	232190
ENSG00000012817	Q9BY66	KDM5D	Y	19703865	19744989
ENSG00000012817		KDM5D	Y	19703865	19744989
ENSG00000280706	Q9GZR2	REXO4	HG2030_PATCH	232153	244190
ENSG00000280706		REXO4	HG2030_PATCH	232153	244190
ENSG00000067646	P08048	ZFY	Y	2935281	2982512
ENSG00000067646		ZFY	Y	2935281	2982512
ENSG00000285248		IPO4	HG1_PATCH	481197	489847
ENSG00000198692	O14602	EIF1AY	Y	20575694	20593154
ENSG00000198692		EIF1AY	Y	20575694	20593154
ENSG00000285125			HG1_PATCH	481373	491394
ENSG00000285465		TM9SF1	HG1_PATCH	490127	496665
ENSG00000285465	O15321	TM9SF1	HG1_PATCH	490127	496665
ENSG00000285502			HG1_PATCH	490135	514451
ENSG00000285140	Q6SA08	TSSK4	HG1_PATCH	506674	509340
ENSG00000285140		TSSK4	HG1_PATCH	506674	509340
ENSG00000285302	Q9BY43	CHMP4A	HG1_PATCH	510561	514847
ENSG00000285302		CHMP4A	HG1_PATCH	510561	514847
ENSG00000285200	Q86V88	MDP1	HG1_PATCH	514921	517048
ENSG00000281244	Q76LX8	ADAMTS13	HG2030_PATCH	240452	285496
ENSG00000281244		ADAMTS13	HG2030_PATCH	240452	285496
ENSG00000285425		NEDD8-MDP1	HG1_PATCH	514933	533330
ENSG00000285246		NEDD8	HG1_PATCH	517835	533345
ENSG00000285246	Q15843	NEDD8	HG1_PATCH	517835	533345
ENSG00000280479	Q9UGQ2	CACFD1	HG2030_PATCH	286059	296942
ENSG00000280479		CACFD1	HG2030_PATCH	286059	296942
ENSG00000281165	Q9UGQ3	SLC2A6	HG2030_PATCH	297188	305221
ENSG00000281165		SLC2A6	HG2030_PATCH	297188	305221
ENSG00000281879		ABO	HG2030_PATCH	76358	102118
ENSG00000281813		KAT6B	HG2191_PATCH	29603	237300
ENSG00000284752		GMPR2	HG1_PATCH	533400	540220
ENSG00000284752	Q9P2T1	GMPR2	HG1_PATCH	533400	540220
ENSG00000283781	Q13470	TNK1	HG2046_PATCH	991	10231
ENSG00000283781		TNK1	HG2046_PATCH	991	10231
ENSG00000284915		TINF2	HG1_PATCH	540621	543652
ENSG00000284915	Q9BSI4	TINF2	HG1_PATCH	540621	543652
ENSG00000284009	Q9NRY6	PLSCR3	HG2046_PATCH	10184	15299
ENSG00000284009		PLSCR3	HG2046_PATCH	10184	15299
ENSG00000284483		TMEM256-PLSCR3	HG2046_PATCH	10191	24554
ENSG00000285348	P22735	TGM1	HG1_PATCH	550092	565410
ENSG00000285348		TGM1	HG1_PATCH	550092	565410
ENSG00000283771	Q8N2U0	TMEM256	HG2046_PATCH	23432	24554
ENSG00000283771		TMEM256	HG2046_PATCH	23432	24554
ENSG00000288508	O14498	ISLR	HG2198_PATCH	1135	4297
ENSG00000288508		ISLR	HG2198_PATCH	1135	4297
ENSG00000283859	Q8NFZ4	NLGN2	HG2046_PATCH	25331	40317
ENSG00000283859		NLGN2	HG2046_PATCH	25331	40317
ENSG00000284598	Q8N4L4	SPEM1	HG2046_PATCH	40781	42089
ENSG00000285193		RABGGTA	HG1_PATCH	566516	572717
ENSG00000283714	Q0P670	SPEM2	HG2046_PATCH	46073	48025
ENSG00000283714		SPEM2	HG2046_PATCH	46073	48025
